author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299181327/;Москва;sale;flat;5;5;2;60.3;26000000;Даниловский;4-й Рощинский проезд;16;Тульская;
DOLGOV PRO;real_estate_agent;https://www.cian.ru/sale/flat/273452066/;Москва;sale;flat;3;22;2;62.9;26000000;Лефортово; Крузенштерна;2;;Символ
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/299958546/;Москва;sale;flat;14;49;2;58.1;25990000;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
КРОСТ;developer;https://www.cian.ru/sale/flat/296745390/;Москва;sale;flat;17;28;2;67.1;25967700;Хорошево-Мневники; Генерала Глаголева;;;CRYSTAL Трилогия
Vysotsky Estate;real_estate_agent;https://www.cian.ru/sale/flat/298836111/;Москва;sale;flat;7;26;2;62.0;26000000;Щукино;;;Октябрьское поле;Театральный Квартал ЖК
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/298145585/;Москва;sale;flat;4;4;2;48.2;26028000;Замоскворечье;Большая Серпуховская ;44;;
ID 39404589;developer;https://www.cian.ru/sale/flat/299971374/;Москва;sale;flat;35;42;2;42.7;26414220;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/299572489/;Москва;sale;flat;7;22;2;62.2;26235510;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/296062774/;Москва;sale;flat;10;30;2;55.7;26400000;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;Sydney City
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/298334335/;Москва;sale;flat;13;28;2;42.8;26378674;Раменки;Винницкая ;8к1;Раменки;Настоящее
Группа Аквилон;developer;https://www.cian.ru/sale/flat/294627961/;Москва;sale;flat;7;23;2;54.0;26226018;Хорошевский;;;Зорге;Инди Тауэрс ЖК
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/299015998/;Москва;sale;flat;14;41;2;48.7;26500000;Раменки;1-й Сетуньский проезд;вл6;Кутузовская;Hide
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/299595816/;Москва;sale;flat;6;41;2;55.0;26500000;Раменки;проезд 4-й Сетуньский;10Ас6;Кутузовская;Hide
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/299059081/;Москва;sale;flat;28;29;2;51.0;26500000;Хорошево-Мневники;Шелепихинская набережная;40к3;Шелепиха;Sydney City
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/293044967/;Москва;sale;flat;11;21;2;42.7;26500000;Хорошево-Мневники;проспект Маршала Жукова;39Ак2;Народное Ополчение;Wellton park
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/299599518/;Москва;sale;flat;3;18;2;50.0;26500000;Беговой;Ленинградский проспект;29к3;Динамо;Царская площадь
Центральный Департамент Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/283172247/;Москва;sale;flat;29;37;2;54.0;26500000;Академический;проспект 60-летия Октября;17;Академическая;Новые Черемушки
Ali Estate;real_estate_agent;https://www.cian.ru/sale/flat/297593133/;Москва;sale;flat;1;4;2;100.0;26500000;Сокольники;2-я Рыбинская ;13;Красносельская;Loft Garden
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/sale/flat/299631160/;Москва;sale;flat;6;8;2;57.0;26500000;Гагаринский;Ленинский проспект;73/8;Университет;
Артем Котяш;realtor;https://www.cian.ru/sale/flat/300053034/;Москва;sale;flat;7;20;2;41.5;26500000;Замоскворечье;;;Павелецкая;Воксхолл ЖК
ID 13536871;realtor;https://www.cian.ru/sale/flat/298802938/;Москва;sale;flat;4;22;2;55.0;26500000;Щукино; Берзарина;30А;Панфиловская;Октябрьское поле
