author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299397196/;Москва;sale;flat;3;9;1;38.0;14000000;Раменки; Довженко;6;Минская;
NOVA CAPITAL;real_estate_agent;https://www.cian.ru/sale/flat/299741031/;Москва;sale;flat;10;16;1;39.5;14000000;Строгино; Кулакова;10;Строгино;
Основа;developer;https://www.cian.ru/sale/flat/286346328/;Москва;sale;flat;-1;-1;-1;202.0;14152480;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Трансстройинвест;developer;https://www.cian.ru/sale/flat/299487885/;Москва;sale;flat;16;32;1;41.5;14105020;Рязанский;;;Стахановская;Проспект 39 ЖК
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/299800501/;Москва;sale;flat;23;25;1;46.0;14200000;Покровское-Стрешнево;Волоколамское шоссе;81/2с3;Трикотажная;Апартаментный комплекс Level Стрешнево
ОЛ ИНКЛЮЗИВ;real_estate_agent;https://www.cian.ru/sale/flat/293262108/;Москва;sale;flat;13;23;1;45.2;14150000;Рязанский;2-й Грайвороновский проезд;44к2;Стахановская;Кварталы 21/19
Макспол Парк Культуры;real_estate_agent;https://www.cian.ru/sale/flat/298907853/;Москва;sale;flat;5;9;1;39.1;14300000;Алексеевский; Бориса Галушкина;18;ВДНХ;
ID 75089457;unknown;https://www.cian.ru/sale/flat/299137161/;Москва;sale;flat;6;8;1;29.4;14300000;Останкинский;Звездный бульвар;26к1;ВДНХ;
DOLGOV PRO;real_estate_agent;https://www.cian.ru/sale/flat/296014546/;Москва;sale;flat;3;28;1;32.4;14500000;Головинский;Михалковская ;;Водный стадион;UNO.Головинские пруды
Трансстройинвест;developer;https://www.cian.ru/sale/flat/299487883/;Москва;sale;flat;16;32;1;44.0;14481016;Рязанский;;;Стахановская;Проспект 39 ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299575868/;Москва;sale;flat;21;31;1;41.0;14500000;Северное Измайлово; Константина Федина;13;Первомайская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/300105445/;Москва;sale;flat;18;33;1;32.68;14500000;Очаково-Матвеевское;;1.2;Аминьевская;Матвеевский Парк ЖК
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/298258459/;Москва;sale;flat;15;17;1;37.9;14500000;Кузьминки;Волгоградский проспект;111к2;Кузьминки;
Брусника Обмен;real_estate_agent;https://www.cian.ru/sale/flat/300050876/;Москва;sale;flat;12;22;1;38.4;14700000;Чертаново Южное;Варшавское шоссе;168;;Лесопарковый
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/298793045/;Москва;sale;flat;12;17;1;39.5;14700000;Черемушки;Новочеремушкинская ;59;Новые Черёмушки;
